"filename", "language", "Markdown", "JSON", "comment", "blank", "total"
"/Users/arjunsharma/Desktop/TheLastParkingSpot/.VSCodeCounter/2024-03-27_17-06-08/details.md", "Markdown", 111, 0, 0, 6, 117
"/Users/arjunsharma/Desktop/TheLastParkingSpot/.VSCodeCounter/2024-03-27_17-06-08/diff-details.md", "Markdown", 9, 0, 0, 6, 15
"/Users/arjunsharma/Desktop/TheLastParkingSpot/.VSCodeCounter/2024-03-27_17-06-08/diff.md", "Markdown", 12, 0, 0, 7, 19
"/Users/arjunsharma/Desktop/TheLastParkingSpot/.VSCodeCounter/2024-03-27_17-06-08/results.json", "JSON", 0, 1, 0, 0, 1
"/Users/arjunsharma/Desktop/TheLastParkingSpot/.VSCodeCounter/2024-03-27_17-06-08/results.md", "Markdown", 142, 0, 0, 7, 149
"/Users/arjunsharma/Desktop/TheLastParkingSpot/.VSCodeCounter/2024-03-27_17-08-26/details.md", "Markdown", 111, 0, 0, 6, 117
"/Users/arjunsharma/Desktop/TheLastParkingSpot/.VSCodeCounter/2024-03-27_17-08-26/diff-details.md", "Markdown", 9, 0, 0, 6, 15
"/Users/arjunsharma/Desktop/TheLastParkingSpot/.VSCodeCounter/2024-03-27_17-08-26/diff.md", "Markdown", 12, 0, 0, 7, 19
"/Users/arjunsharma/Desktop/TheLastParkingSpot/.VSCodeCounter/2024-03-27_17-08-26/results.json", "JSON", 0, 1, 0, 0, 1
"/Users/arjunsharma/Desktop/TheLastParkingSpot/.VSCodeCounter/2024-03-27_17-08-26/results.md", "Markdown", 142, 0, 0, 7, 149
"Total", "-", 548, 2, 0, 52, 602
